County,Gore_Percent,Gore_Num,Bush_Percent,Bush_Num,Others_Percent,Others_Num,Total
Appling County,0.34,"2,093",0.65,"3,940",0.01,66.00,"6,099"
Atkinson County,0.40,821,0.59,"1,228",0.01,22.00,"2,071"
Bacon County,0.32,956,0.67,"2,010",0.01,29.00,"2,995"
Baker County,0.59,893,0.40,615,0.01,11.00,"1,519"
Baldwin County,0.49,"5,893",0.50,"6,041",0.02,192.00,"12,126"
Banks County,0.27,"1,220",0.71,"3,202",0.02,111.00,"4,533"
Barrow County,0.30,"3,657",0.65,"7,925",0.04,520.00,"12,102"
Bartow County,0.33,"7,508",0.65,"14,720",0.02,553.00,"22,781"
Ben Hill County,0.48,"2,234",0.51,"2,381",0.01,46.00,"4,661"
Berrien County,0.37,"1,640",0.62,"2,718",0.01,52.00,"4,410"
Bibb County,0.50,"24,996",0.48,"24,071",0.01,709.00,"49,776"
Bleckley County,0.34,"1,273",0.65,"2,436",0.01,40.00,"3,749"
Brantley County,0.30,"1,372",0.68,"3,118",0.02,76.00,"4,566"
Brooks County,0.46,"2,096",0.53,"2,406",0.01,49.00,"4,551"
Bryan County,0.31,"2,172",0.68,"4,835",0.01,52.00,"7,059"
Bulloch County,0.38,"5,561",0.61,"8,990",0.02,231.00,"14,782"
Burke County,0.52,"3,720",0.47,"3,381",0.00,34.00,"7,135"
Butts County,0.40,"2,281",0.57,"3,198",0.03,156.00,"5,635"
Calhoun County,0.59,"1,107",0.41,768,0.01,12.00,"1,887"
Camden County,0.36,"3,636",0.63,"6,371",0.01,112.00,"10,119"
Candler County,0.39,"1,053",0.60,"1,643",0.01,26.00,"2,722"
Carroll County,0.34,"8,752",0.63,"16,326",0.03,663.00,"25,741"
Catoosa County,0.31,"5,470",0.68,"12,033",0.01,218.00,"17,721"
Charlton County,0.36,"1,015",0.63,"1,770",0.01,31.00,"2,816"
Chatham County,0.49,"37,590",0.49,"37,847",0.01,1038.00,"76,475"
Chattahoochee County,0.50,600,0.49,590,0.01,17.00,"1,207"
Chattooga County,0.42,"2,729",0.56,"3,640",0.02,108.00,"6,477"
Cherokee County,0.23,"12,295",0.73,"38,033",0.04,2020.00,"52,348"
Clarke County,0.52,"15,167",0.41,"11,850",0.07,1887.00,"28,904"
Clay County,0.64,821,0.35,448,0.01,8.00,"1,277"
Clayton County,0.65,"40,042",0.33,"19,966",0.02,1394.00,"61,402"
Clinch County,0.42,816,0.57,"1,091",0.01,22.00,"1,929"
Cobb County,0.37,"86,676",0.60,"140,494",0.03,7857.00,"235,027"
Coffee County,0.38,"3,593",0.61,"5,756",0.01,81.00,"9,430"
Colquitt County,0.33,"3,297",0.66,"6,589",0.01,86.00,"9,972"
Columbia County,0.25,"8,969",0.74,"26,660",0.01,379.00,"36,008"
Cook County,0.42,"1,639",0.58,"2,279",0.01,26.00,"3,944"
Coweta County,0.29,"9,056",0.68,"21,327",0.03,843.00,"31,226"
Crawford County,0.42,"1,513",0.56,"1,987",0.02,67.00,"3,567"
Crisp County,0.40,"2,268",0.59,"3,285",0.01,56.00,"5,609"
Dade County,0.32,"1,628",0.66,"3,333",0.02,88.00,"5,049"
Dawson County,0.25,"1,458",0.71,"4,210",0.04,230.00,"5,898"
Decatur County,0.44,"3,398",0.55,"4,187",0.01,63.00,"7,648"
DeKalb County,0.70,"154,509",0.27,"58,807",0.03,6664.00,"219,980"
Dodge County,0.40,"2,326",0.59,"3,472",0.01,79.00,"5,877"
